,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Production Budget:,Theater counts:,Infl. Adj. Dom. BO,International Releases:,Running Time:,Comparisons:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,Domestic Releases:,Video Release:,MPAA Rating:,Keywords:,Production/Financing Companies:,Franchise:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic DVD Sales,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Baba-Parasi-(Turkey),[],"[['Selcuk Aydemir', 'Director']]",,,,,,,"January 1st, 2020 (Wide), released as Baba Parası (Turkey)
January 10th, 2020 (Limited) (United Kingdom)
",116 minutes,Create your own comparison chart…,Original Screenplay,Comedy,Live Action,Contemporary Fiction,Turkey,Turkish,,,,,,,n/a,"$5,098,367","$5,098,367",,,
1,https://www.the-numbers.com/movie/Tolo-Tolo-(Italy),[],"[['Checco Zalone', 'Director']]",,,,,,,"January 1st, 2020 (Wide) (Italy)
",90 minutes,Create your own comparison chart…,Original Screenplay,Comedy,Live Action,Contemporary Fiction,Italy,Italian,,,,,,,n/a,"$52,186,424","$52,186,424",,,
2,https://www.the-numbers.com/movie/Call-of-the-Wild-The-(2020),"['Terry Notary', 'Dan Stevens', 'Karen Gillan', 'Omar Sy', 'Colin Woodell', 'Bradley Whitford', 'Harrison Ford']","[['Chris Sanders', 'Director'], ['Michael Green', 'Screenwriter'], ['Jack London', 'Story based on the novel “The Call of the Wild” by'], ['Erwin Stoff', 'Producer'], ['James Mangold', 'Producer'], ['Diana Pokorny', 'Executive Producer'], ['Ryan Stafford', 'Executive Producer'], ['Michael Green', 'Executive Producer'], ['Stefan Dechant', 'Production Designer'], ['David Heinz', 'Editor'], ['William Hoy', 'Editor'], ['John Powell', 'Composer'], ['Janusz Kaminski', 'Director of Photography']]","$24,791,624 (39.8% of total gross)",2.51 (domestic box office/biggest weekend),58.1% (domestic box office/worldwide),"$125,000,000 (worldwide box office is 0.9 times production budget)","3,752 opening theaters/3,914 max. theaters, 3.8 weeks average run per theater","$69,232,483","January 3rd, 2020 (Wide) (Poland)
February 20th, 2020 (Wide) (France)
February 20th, 2020 (Wide) (Germany)
February 20th, 2020 (Wide), released as Il richiamo della foresta (Italy)
February 20th, 2020 (Wide) (New Zealand)
... Show all releases
",100 minutes,"Blockbusters, 2020vs. Everybody’s Talking About JamieCreate your own comparison chart…",Based on Fiction Book/Short Story,Adventure,Live Action,Historical Fiction,United States,English,"February 21st, 2020 (Wide) by 20th Century Studios","March 27th, 2020 by Fox Home Entertainment","PG for some violence, peril, thematic elements and mild language.(Rating bulletin 2612 (Cert #52529), 1/15/2020)","Set in Canada, Set in Yukon, Gold Rush, Animal Lead, Autumn Years, Arctic Circle, 1890s, Family Movie","20th Century Studios, TSG Entertainment, 3 Arts Entertainment",,"$62,342,368","$45,008,823","$107,351,191","$7,074,355","$9,916,014","$16,990,369"
3,https://www.the-numbers.com/movie/Jak-zostalem-gangsterem-Historia-prawdziwa-(Poland),[],"[['Maciej Kawulski', 'Director']]",,,,,,,"January 3rd, 2020 (Wide) (Poland)
January 31st, 2020 (Limited), released as Jak Zostalem Gangsterem (United Kingdom)
",140 minutes,Create your own comparison chart…,Original Screenplay,Drama,Live Action,Contemporary Fiction,Poland,Polish,,"January 4th, 2023 by Netflix, released as How I Became a Gangster",,,,,n/a,"$5,968,526","$5,968,526",,,
4,https://www.the-numbers.com/movie/Qin-Ai-Dw-Xin-Nian-Hao-(China),[],"[['Zoe Peng', 'Director']]",,,,,,,"January 3rd, 2020 (Wide) (China)
March 27th, 2020 (Wide) (Hong Kong)
",120 minutes,Create your own comparison chart…,Original Screenplay,Drama,Live Action,Contemporary Fiction,China,Mandarin,,,,,,,n/a,"$9,120,498","$9,120,498",,,
5,https://www.the-numbers.com/movie/Xiong-Chu-Mo-Kuang-Ye-Da-Lu-(China),[],"[['Leon Ding', 'Director']]",,,,,,,"January 4th, 2020 (Wide) (China)
February 11th, 2021 (Wide), released as Boonie Bears: The Wild Life (Australia)
February 11th, 2021 (Wide) (New Zealand)
February 18th, 2021 (Limited), released as Boonie Bears: The Wild Life (Australia)
August 5th, 2021 (Wide), released as Тайна парка развлечений (Russia (CIS))
... Show all releases
",99 minutes,Create your own comparison chart…,Original Screenplay,Comedy,Digital Animation,Kids Fiction,China,Mandarin,,"August 17th, 2021 by Cinedigm, released as Boonie Bears: The Wild Life",,,,Boonie Bears,n/a,"$93,156,454","$93,156,454",,,
6,https://www.the-numbers.com/movie/Dolittle,"['Antonio Banderas', 'Michael Sheen', 'Harry Collett', 'Robert Downey, Jr.', 'Emma Thompson', 'Rami Malek', 'John Cena', 'Kumail Nanjiani', 'Octavia Spencer', 'Tom Holland', 'Craig Robinson', 'Ralph Fiennes', 'Selena Gomez', 'Marion Cotillard']","[['Stephen Gaghan', 'Director'], ['Stephen Gaghan', 'Screenwriter'], ['Tom Shepherd', 'Screenwriter'], ['Hugh Lofting', 'Story by'], ['Joe Roth', 'Producer'], ['Jeff Kirschenbaum', 'Producer'], ['Susan Downey', 'Producer'], ['Robert Downey, Jr.', 'Executive Producer'], ['Sarah Bradshaw', 'Executive Producer'], ['Zachary Roth', 'Executive Producer'], ['Jonathan Liebesman', 'Executive Producer']]","$21,844,045 (28.4% of total gross)",3.53 (domestic box office/biggest weekend),30.6% (domestic box office/worldwide),"$175,000,000 (worldwide box office is 1.4 times production budget)","4,155 opening theaters/4,155 max. theaters, 5.6 weeks average run per theater","$85,562,353","January 8th, 2020 (Wide) (South Korea)
January 9th, 2020 (Wide) (Serbia and Montenegro)
January 9th, 2020 (Wide) (Ukraine)
January 10th, 2020 (Wide) (South Africa)
January 15th, 2020 (Wide) (Egypt)
... Show all releases
",103 minutes,"Blockbusters, 2020vs. Bad Boys For LifeCreate your own comparison chart…",Based on Fiction Book/Short Story,Adventure,Animation/Live Action,Kids Fiction,United States,English,"January 17th, 2020 (Wide) by UniversalJanuary 17th, 2020 (IMAX) by Universal","March 24th, 2020 by Universal Home EntertainmentApril 7th, 2020 by Universal Pictures UK","PG for some action, rude humor and brief language.(Rating bulletin 2607 (Cert #52492), 12/4/2019)","IMAX: DMR, Talking Animals, Family Movie","Team Downey, Universal Pictures, Perfect World Pictures, Roth Kirschenbaum Films",,"$77,047,065","$174,462,229","$251,509,294","$8,256,250","$10,751,092","$19,007,342"
7,https://www.the-numbers.com/movie/Hammamet-(Italy),[],"[['Gianni Amelio', 'Director']]",,,,,,,"January 9th, 2020 (Wide) (Italy)
",126 minutes,Create your own comparison chart…,Based on Real Life Events,Drama,Live Action,Dramatization,Italy,Italian,,,,,,,n/a,"$6,696,194","$6,696,194",,,
8,https://www.the-numbers.com/movie/Kaiji-Fainaru-gemu-(Japan),[],"[['Tôya Satô', 'Director']]",,,,,,,"January 10th, 2020 (Wide) (Japan)
",128 minutes,Create your own comparison chart…,Original Screenplay,Adventure,Live Action,Contemporary Fiction,Japan,Japanese,,,,,,,n/a,"$17,631,172","$17,631,172",,,
9,https://www.the-numbers.com/movie/Like-a-Boss,"['Jennifer Coolidge', 'Billy Porter', 'Tiffany Haddish', 'Rose Byrne', 'Salma Hayek']","[['Miguel Arteta', 'Director'], ['Sam Pitman', 'Screenwriter'], ['Adam Cole-Kelly', 'Screenwriter'], ['Sam Pitman', 'Story by'], ['Adam Cole-Kelly', 'Story by'], ['Danielle Sanchez-Witzel', 'Story by'], ['Peter Principato', 'Producer'], ['Itay Reiss', 'Producer'], ['Joel Zadak', 'Producer'], ['Marc Evans', 'Producer'], ['Tiffany Haddish', 'Executive Producer'], ['Nicolas Stern', 'Executive Producer'], ['Jas Shelton', 'Director of Photography'], ['Theresa Gulesarian', 'Production Designer'], ['Jay Deuby', 'Editor'], ['Sekinah Brown', 'Costume Designer'], ['Christophe Beck', 'Composer'], ['Allison Jones', 'Casting Director']]","$10,011,272 (45.2% of total gross)",2.21 (domestic box office/biggest weekend),83.5% (domestic box office/worldwide),"$29,000,000 (worldwide box office is 0.9 times production budget)","3,078 opening theaters/3,081 max. theaters, 2.9 weeks average run per theater","$24,619,698","January 10th, 2020 (Wide) (Romania)
January 23rd, 2020 (Wide) (New Zealand)
January 24th, 2020 (Wide), released as Like A Boss (Australia)
January 24th, 2020 (Wide), released as KOT ŠEF (Slovenia)
January 31st, 2020 (Wide), released as Socias en Guerra (Mexico)
... Show all releases
",83 minutes,vs. The GrudgeCreate your own comparison chart…,Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,English,"January 10th, 2020 (Wide) by Paramount Pictures","April 7th, 2020 by Paramount Home Video","R for language, crude sexual material, and drug use.(Rating bulletin 2607 (Cert #52173), 12/4/2019)","Corporate Life, Corporate Malfeasance, Professional Rivalry, Beauty Industry, Boss From Hell, Buddy Comedy","Artists First, Paramount Pictures",,"$22,169,514","$4,394,374","$26,563,888","$1,248,037","$640,544","$1,888,581"
