,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Theater counts:,Infl. Adj. Dom. BO,Production Budget:,Domestic Releases:,International Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,Franchise:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic DVD Sales,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Dry-The-(Australia),"[""Genevieve O'Reilly"", ""Keir O'Donnell"", 'John Polson', 'Eric Bana']","[['Robert Connolly', 'Director'], ['Harry Cripps', 'Screenwriter'], ['Robert Connolly', 'Screenwriter'], ['Jane Harper', 'Story based on the book by'], ['Bruna Papandrea', 'Producer'], ['Jodi Matterson', 'Producer'], ['Eric Bana', 'Executive Producer'], ['Robert Connolly', 'Executive Producer'], ['Steve Hutensky', 'Producer'], ['Eric Bana', 'Producer'], ['Ricci Swart', 'Executive Producer'], ['Meryl Metni', 'Executive Producer'], ['Andrew Myer', 'Executive Producer'], ['Jane Harper', 'Executive Producer'], ['Joel Pearlman', 'Executive Producer'], ['Jeanne Snow', 'Executive Producer'], ['Stefan Duscio', 'Director of Photography'], ['Alexandre De Franceschi', 'Editor'], ['Nick Meyers', 'Editor'], ['Ruby Mathers', 'Production Designer'], ['Cappi Ireland', 'Costume Designer'], ['Peter Raeburn', 'Composer'], ['Chris Goodes', 'Sound Designer'], ['Jane Norris', 'Casting Director']]","$119,364 (32.8% of total gross)",3.05 (domestic box office/biggest weekend),2.1% (domestic box office/worldwide),"186 opening theaters/186 max. theaters, 2.5 weeks average run per theater","$366,147",,"May 21st, 2021 (Limited) by IFC Films","January 1st, 2021 (Wide) (Australia)
January 1st, 2021 (Wide) (New Zealand)
July 15th, 2021 (Wide), released as Город тайн (Russia (CIS))
November 11th, 2021 (Wide), released as Chi è senza peccato - The Dry (Italy)
November 19th, 2021 (Wide), released as Años de sequia (Spain)
... Show all releases
","May 21st, 2021 by IFC Video","R for violence, and language throughout.(Rating bulletin 2675 (cert #53161), 3/7/2021)",118 minutes,vs. AvatarCreate your own comparison chart…,"Crime Thriller, You Can't Go Home Again, Funeral Reunions, The Past Catching up with You, Unsolved Murder",Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,"Screen Australia, Film Victoria, Made Up Stories, Arenamedia, Pick Up Truck Pictures","Australia, United States",English,,"$364,397","$17,124,326","$17,488,723",,,
1,https://www.the-numbers.com/movie/Octonauts-The-Ring-of-Fire-(2021-China),[],"[['Blair Simmons', 'Director'], ['Qin Zhou', 'Director']]",,,,,,,,"January 1st, 2021 (Wide) (China)
April 28th, 2021 (Wide) (South Korea)
","March 30th, 2021 by Netflix",,,Create your own comparison chart…,,Based on TV,Adventure,Digital Animation,Kids Fiction,,"China, United Kingdom",Mandarin,,n/a,"$8,437,314","$8,437,314",,,
2,https://www.the-numbers.com/movie/Penguin-Bloom,"['Andrew Lincoln', 'Jacki Weaver', 'Rachel House', 'Leeanna Walsman', 'Lisa Hensley', 'Griffin Murray-Johnston', 'Felix Cameron', 'Abe Clifford-Barr', 'Naomi Watts']","[['Glendyn Ivin', 'Director'], ['Shaun Grant', 'Screenwriter'], ['Harry Cripps', 'Screenwriter'], ['Bradley Trevor Greive', 'Story by'], ['Cameron Bloom', 'Story by'], ['Naomi Watts', 'Producer'], ['Emma Cooper', 'Producer'], ['Bruna Papandrea', 'Producer'], ['Jodi Matterson', 'Producer'], ['Steve Hutensky', 'Producer']]",,,,,,,,"January 1st, 2021 (Limited) (Australia)
January 21st, 2021 (Wide) (New Zealand)
April 29th, 2021 (Wide), released as Un Milagro Inesperado (Mexico)
July 15th, 2021 (Wide) (Italy)
August 19th, 2021 (Limited) (Germany)
... Show all releases
","January 27th, 2021 by Netflix",,95 minutes,Create your own comparison chart…,,Based on Factual Book/Article,Drama,Live Action,Dramatization,"Made Up Stories, Screen Australia, Broadtalk, JamTart Films, Netflix, Endeavor Content, Roadshow Films, Create NSW","Australia, United States",English,,n/a,"$6,262,056","$6,262,056",,,
3,https://www.the-numbers.com/movie/Posledniy-bogatyr-Koren-Zla-(2021-Russia),[],"[['Dmitry Dyachenko', 'Director']]",,,,,,,,"January 1st, 2021 (Wide), released as Последний богатырь: Корень зла (Russia (CIS))
May 28th, 2021 (Wide), released as Paskutinis didvyris: blogio ištakos (Последний богатырь: Корень зла) (Lithuania)
",,,,Create your own comparison chart…,,,Adventure,Live Action,Super Hero,,Russian Federation,Russian,,n/a,"$33,396,899","$33,396,899",,,
4,https://www.the-numbers.com/movie/Gintama-The-Final-(2021-Japan),[],"[['Chizuru Miyawaki', 'Director']]",,,,,,,,"January 8th, 2021 (Wide) (Japan)
July 22nd, 2021 (Wide) (South Korea)
","January 25th, 2022 by Shout Factory",,104 minutes,vs. Kimetsu no Yaiba: Mugen Ressha-HenCreate your own comparison chart…,,Based on Comic/Graphic Novel,Action,Hand Animation,Fantasy,,Japan,Japanese,Gintama,n/a,"$15,775,367","$15,775,367",,,
5,https://www.the-numbers.com/movie/Ji-Hun-(2021-China),[],"[['Wei-hao Cheng', 'Director']]",,,,,,,,"January 8th, 2021 (Wide), released as The Soul (China)
",,,125 minutes,Create your own comparison chart…,,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,,"China, Taiwan, Province of China","English, Mandarin, Southern Min",,n/a,"$17,100,000","$17,100,000",,,
6,https://www.the-numbers.com/movie/Sha-Xiao-Shuo-Jia-Ci-(2021-Chinese),"['Yu Hewei', 'Lei Jiayin', 'Zijian Dong', 'Guo Jingfei', 'Mi Yang']","[['Lu Yang', 'Director'], ['Hao Ning', 'Executive Producer']]",,,,,,,"February 12th, 2021 (Limited) by CMC Pictures, released as A Writer’s Odyssey","January 12th, 2021 (Wide) (New Zealand)
February 11th, 2021 (Wide) (Australia)
February 12th, 2021 (Wide), released as A Writer‘s Odyssey (China)
May 27th, 2021 (Wide), released as Ассасин: Битва миров (Russia (CIS))
","March 8th, 2022 by Shout Factory, released as A Writer’s Odyssey",,130 minutes,Create your own comparison chart…,,Based on Fiction Book/Short Story,Action,Live Action,Fantasy,,China,Mandarin,,n/a,"$159,944,397","$159,944,397",,,
7,https://www.the-numbers.com/movie/Master-(2021-India),[],"[['Lokesh Kanagaraj', 'Director']]",,,,,,,,"January 13th, 2021 (Wide), released as Vijay The Master (New Zealand)
January 14th, 2021 (Wide) (Australia)
January 15th, 2021 (Wide) (India)
",,,179 minutes,vs. MersalCreate your own comparison chart…,,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,,India,"Hindi, Tamil",,n/a,"$11,734,563","$11,734,563",,,
8,https://www.the-numbers.com/movie/Marksman-The-(2021),"['Katheryn Winnick', 'Juan Pablo Raba', 'Teresa Ruiz', 'Liam Neeson']","[['Robert Lorenz', 'Director'], ['Robert Lorenz', 'Screenwriter'], ['Chris Charles', 'Screenwriter'], ['Danny Kravitz', 'Screenwriter'], ['Tai Duncan', 'Producer'], ['Mark Williams', 'Producer'], ['Warren T. Goz', 'Producer'], ['Daniel Eric Gold', 'Producer'], ['Robert Lorenz', 'Producer'], ['Mark Katchur', 'Executive Producer'], ['James Masciello', 'Executive Producer'], ['Matthew Sidari', 'Executive Producer'], ['Nicolas Chartier', 'Executive Producer'], ['Jonathan Deckter', 'Executive Producer'], ['Mark Patten', 'Director of Photography'], ['Charisse Cardenas', 'Production Designer'], ['Luis Carballar', 'Editor'], ['Peggy Stamper', 'Costume Designer'], ['Sean Callery', 'Editor'], ['Laura Katz', 'Music Supervisor'], ['Marisol Roncali', 'Casting Director'], ['Chelsea Ellis Bloch', 'Casting Director']]","$3,104,204 (19.9% of total gross)",5.01 (domestic box office/biggest weekend),65.3% (domestic box office/worldwide),"1,975 opening theaters/2,018 max. theaters, 9.1 weeks average run per theater","$15,640,923","$23,000,000 (worldwide box office is 1.0 times production budget)","January 15th, 2021 (Wide) by Open Road","January 15th, 2021 (Wide) (United Kingdom)
January 21st, 2021 (Wide) (Australia)
January 28th, 2021 (Wide) (New Zealand)
February 4th, 2021 (Wide) (Russia (CIS))
March 18th, 2021 (Wide), released as El protector (Mexico)
... Show all releases
","April 27th, 2021 by Universal Home Entertainment","PG-13 for violence, some bloody images and brief strong language.(Rating bulletin 2659 (cert #52659), 12/9/2020)",107 minutes,vs. The UnholyCreate your own comparison chart…,"Action Thriller, Texas, Border Town, Fugitive / On the Run, Drug Cartels, Life on a Farm, Road Trip",Original Screenplay,Action,Live Action,Contemporary Fiction,"Open Road Films, Briarcliff Entertainment, Voltage Pictures, Sculpter Media, Zero Gravity Management, Stonehouse Motion Pictures",United States,English,,"$15,566,093","$8,289,754","$23,855,847","$3,334,332","$3,125,641","$6,459,973"
9,https://www.the-numbers.com/movie/Mei-You-Guo-Bu-Qu-De-Nian-(2021-China),[],"[['Yin Li', 'Director']]",,,,,,,,"January 15th, 2021 (Wide), released as A Hustle Bustle New Year (China)
",,,90 minutes,Create your own comparison chart…,,Original Screenplay,Drama,Live Action,Contemporary Fiction,,China,Mandarin,,n/a,"$7,900,000","$7,900,000",,,
