,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Production Budget:,Theater counts:,Infl. Adj. Dom. BO,International Releases:,Running Time:,Comparisons:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,Domestic Releases:,Production/Financing Companies:,Video Release:,MPAA Rating:,Keywords:,Franchise:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic DVD Sales,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Kesisme-Iyi-Ki-Varsin-Eren-(2022-Turkey),[],"[['Ozer Feyzioglu', 'Director']]",,,,,,,"January 1st, 2022 (Wide) (Turkey)
January 7th, 2022 (Wide) (United Kingdom)
February 24th, 2022 (Limited) (Australia)
",98 minutes,Create your own comparison chart…,Original Screenplay,Action,Live Action,Contemporary Fiction,Turkey,Turkish,,,,,,,n/a,"$9,279,013","$9,279,013",,,
1,https://www.the-numbers.com/movie/Li-Mao-Huan-Tai-Zi-(2022-China),[],"[['Gao Ke', 'Director']]",,,,,,,"January 1st, 2022 (Wide), released as 李茂换太子 (China)
",100 minutes,Create your own comparison chart…,Original Screenplay,Comedy,Live Action,Contemporary Fiction,China,Mandarin,,,,,,,n/a,"$72,760,000","$72,760,000",,,
2,https://www.the-numbers.com/movie/Kyeonggwaneu-pi-(2022-South-Korea),[],"[['Lee Kyoo-man', 'Director']]",,,,,,,"January 5th, 2022 (Wide), released as 경관의 피 (South Korea)
October 28th, 2022 (Limited), released as Kyeonggwaneu pi (警官の血) (Japan)
",119 minutes,Create your own comparison chart…,Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,Republic of Korea,Korean,"January 7th, 2022 (Limited) by Self Distributed, released as The Policeman’s Lineage",815 Pictures,,,,,n/a,"$5,648,375","$5,648,375",,,
3,https://www.the-numbers.com/movie/355-The-(2021),"['Edgar Ramirez', 'Sebastian Stan', 'Jessica Chastain', 'Penélope Cruz', 'Fan Bingbing', 'Diane Kruger', ""Lupita Nyong'o""]","[['Simon Kinberg', 'Director'], ['Theresa Rebeck', 'Screenwriter'], ['Simon Kinberg', 'Screenwriter'], ['Jessica Chastain', 'Producer'], ['Kelly Carmichael', 'Producer'], ['Simon Kinberg', 'Producer'], ['Richard Hewitt', 'Executive Producer'], ['Esmond Ren', 'Executive Producer'], ['Huan Wang', 'Executive Producer'], ['Simon Elliott', 'Production Designer'], ['John Gilbert', 'Editor'], ['Lee Smith', 'Editor'], ['Tom Holkenborg', 'Composer'], ['Tim Maurice-Jones', 'Director of Photography'], ['Avy Kaufman', 'Casting Director'], [""Jimmy O'Dee"", 'Stunt Coordinator'], [""Jimmy O'Dee"", 'Second Unit Director']]","$4,621,765 (31.7% of total gross)",3.15 (domestic box office/biggest weekend),77.1% (domestic box office/worldwide),"$75,000,000 (worldwide box office is 0.3 times production budget)","3,145 opening theaters/3,145 max. theaters, 4.5 weeks average run per theater","$14,570,455","January 6th, 2022 (Wide), released as Agentes 355 (Mexico)
January 7th, 2022 (Wide) (Romania)
January 7th, 2022 (Wide) (United Kingdom)
January 13th, 2022 (Wide) (Australia)
January 13th, 2022 (Wide) (Germany)
... Show all releases
",124 minutes,vs. InfernoCreate your own comparison chart…,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,United States,English,"January 7th, 2022 (Wide) by Universal","Freckle Films, Genre Films, FilmNation Entertainment, Universal Pictures, Simon Kinberg","January 28th, 2022 by Universal Home Entertainment","PG-13 for sequences of strong violence, brief strong language, and suggestive material.(Rating bulletin 2651 (cert #52888), 10/14/2020)","MI6, C.I.A., Secret Agent, Action Thriller",,"$14,570,455","$4,332,343","$18,902,798","$518,765","$859,364","$1,378,129"
4,https://www.the-numbers.com/movie/Katuri-City-Adventure-(2021-China),[],"[['Cao Feng', 'Director'], ['Jian Zhang', 'Director']]",,,,,,,"January 8th, 2022 (Wide), released as 萌鸡小队：萌闯新世界 (China)
",,Create your own comparison chart…,,Adventure,Digital Animation,Kids Fiction,China,,,,,,,,n/a,"$5,400,000","$5,400,000",,,
5,https://www.the-numbers.com/movie/Scream-(2022),"['Jack Quaid', 'Neve Campbell', 'Courteney Cox', 'David Arquette']","[['Matt Bettinelli-Olpin', 'Director'], ['Tyler Gillett', 'Director'], ['James Vanderbilt', 'Screenwriter'], ['Guy Busick', 'Screenwriter'], ['Kevin Williamson', 'Character Creator'], ['James Vanderbilt', 'Producer'], ['Paul Neinstein', 'Producer'], ['William Sherak', 'Producer'], ['Kevin Williamson', 'Executive Producer'], ['Gary Barber', 'Executive Producer'], ['Cathy Konrad', 'Executive Producer'], ['Ron Lynch', 'Executive Producer'], ['Marianne Maddalena', 'Executive Producer'], ['Peter Oillataguerre', 'Executive Producer'], ['Chad Villella', 'Executive Producer'], ['Brett Jutkiewicz', 'Director of Photography'], ['Chad Keith', 'Production Designer'], ['Michael Aller', 'Editor'], ['Emily Gunshor', 'Costume Designer'], ['Brian Tyler', 'Composer'], ['Rich Delia', 'Casting Director']]","$30,018,805 (36.8% of total gross)",2.72 (domestic box office/biggest weekend),58.8% (domestic box office/worldwide),"$24,000,000 (worldwide box office is 5.8 times production budget)","3,664 opening theaters/3,666 max. theaters, 6.1 weeks average run per theater","$81,641,409","January 12th, 2022 (Wide) (France)
January 13th, 2022 (Wide) (Australia)
January 13th, 2022 (Wide), released as Scream 5 (Germany)
January 13th, 2022 (Wide) (Italy)
January 13th, 2022 (Wide), released as Крик (Russia (CIS))
... Show all releases
",114 minutes,vs. Scream VICreate your own comparison chart…,Original Screenplay,Horror,Live Action,Contemporary Fiction,United States,English,"January 14th, 2022 (Wide) by Paramount Pictures","Spyglass Media Group, Project X Entertainment, Paramount Pictures, Radio Silence","March 1st, 2022 by Paramount Home Video","R for strong bloody violence, language throughout and some sexual references.(Rating bulletin 2709 (cert #53115), 12/1/2021)","Slasher Horror, Delayed Sequel, The Past Catching up with You",Scream,"$81,641,405","$57,233,384","$138,874,789","$1,838,433","$2,648,047","$4,486,480"
6,https://www.the-numbers.com/movie/Du-She-Da-Zhuang-(2023-Hong-Kong),"['Louise Wong (王丹妮)', 'Fish Liew (廖子妤)', 'Michael Wong', 'Dee Gor Ho (何启华)', 'Renci Yeung (杨偲泳)', 'Adam Pak', 'Bowie Lam', 'Vincent Kok', 'Sheldon Lo (罗孝勇)', 'Dayo Wong', 'Kwan-ho Tse (谢君豪)']","[['Jack Ng', 'Director'], ['Jack Ng', 'Screenwriter'], ['Andi Lim', 'Screenwriter'], ['Bill Kong', 'Producer'], ['Ivy Ho', 'Producer'], ['Hugh Simon', 'Producer'], ['Jie Li (李捷)', 'Producer'], ['Anthony Pun', 'Director of Photography'], ['Ki-hop Chan', 'Editor']]",,,,,,,"January 21st, 2022 (Limited), released as Dú Shé Dà Zhuàng (Australia)
January 19th, 2023 (Limited), released as A Guilty Conscience (New Zealand)
January 20th, 2023 (Wide), released as A Guilty Conscience (United Kingdom)
January 21st, 2023 (Limited), released as Dú Shé Dà Zhuàng (Hong Kong)
February 17th, 2023 (Wide), released as A Guilty Conscience (China)
... Show all releases
",135 minutes,Create your own comparison chart…,Original Screenplay,Drama,Live Action,Contemporary Fiction,Hong Kong,Cantonese,,,,,,,n/a,"$27,885,796","$27,885,796",,,
7,https://www.the-numbers.com/movie/Redeeming-Love,"['Logan Marshall-Green', 'Famke Janssen', 'Ke-Xi Wu', 'Nina Dobrev', 'Eric Dane', 'Abigail Cowen', 'Tom Lewis']","[['D.J. Caruso', 'Director'], ['Francine Rivers', 'Screenwriter'], ['D.J. Caruso', 'Screenwriter'], ['Francine Rivers', 'Story based on the book by'], ['Cindy Bond', 'Producer'], ['Brittany Yost', 'Producer'], ['Simon Swart', 'Producer'], ['Wayne Fitzjohn', 'Producer'], ['Michael Scott', 'Producer'], ['David A.R. White', 'Producer'], ['Francine Rivers', 'Executive Producer'], ['Roma Downey', 'Executive Producer'], ['Geyer Kosinski', 'Executive Producer'], ['Rogier Stoffers', 'Director of Photography'], ['Johnny Breedt', 'Production Designer'], ['Jim Page', 'Editor'], ['Sheila Jaffe', 'Casting Director']]","$3,530,180 (38.3% of total gross)",2.61 (domestic box office/biggest weekend),99.5% (domestic box office/worldwide),,"1,903 opening theaters/1,963 max. theaters, 3.7 weeks average run per theater","$9,214,020","March 23rd, 2022 (Wide), released as Redeeming Love (리디밍 러브) (South Korea)
September 16th, 2022 (Wide) (United Kingdom)
September 17th, 2022 (Limited) (United Kingdom)
",134 minutes,vs. God’s Not DeadCreate your own comparison chart…,Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,United States,English,"January 21st, 2022 (Wide) by Universal","Mission Pictures International, Nthibah Pictures, Pure Flix, Lightworkers Media","February 8th, 2022 by Universal Home Entertainment","PG-13 for mature thematic content, sexual content, partial nudity, and strong violent content.(Rating bulletin 2696 (cert #53388), 9/1/2921)","Romance, 1850s, Set in California, Modern Adaptation, Gold Rush, Faith-Based Drama, Faith-Based Film",,"$9,214,020","$45,299","$9,259,319","$487,896","$326,968","$814,864"
8,https://www.the-numbers.com/movie/Haejeok-doggaebi-gitbal-(2022-South-Korea),[],"[['Kim Jeong-hoon II', 'Director']]",,,,,,,"January 26th, 2022 (Wide), released as 해적: 도깨비 깃발 (South Korea)
",125 minutes,Create your own comparison chart…,,Action,Live Action,,Republic of Korea,Korean,,,,,,,n/a,"$9,888,157","$9,888,157",,,
9,https://www.the-numbers.com/movie/Kingmeikeo-seonkeopanui-yeou-(2022-South-Korea),[],"[['Byun Sung-Hyun', 'Director']]",,,,,,,"January 26th, 2022 (Wide), released as 킹메이커 (South Korea)
",123 minutes,Create your own comparison chart…,Original Screenplay,Drama,Live Action,Contemporary Fiction,Republic of Korea,Korean,,,,,,,n/a,"$5,869,455","$5,869,455",,,
10,https://www.the-numbers.com/movie/Chang-Jin-Hu-Zhi-Shui-Men-Qiao-(2022-China),[],"[['Kaige Chen', 'Director'], ['Tsui Hark', 'Director'], ['Dante Lam', 'Director']]",,,,,,,"February 1st, 2022 (Wide), released as 长津湖之水门桥 (China)
February 1st, 2022 (IMAX), released as 长津湖之水门桥 (China)
February 10th, 2022 (Limited), released as The Battle at Lake Changjin II (Australia)
February 11th, 2022 (Limited), released as The Battle at Lake Changjin II (United Kingdom)
July 8th, 2022 (Limited), released as La batalla del lago Changjin (Spain)
... Show all releases
",90 minutes,vs. Chang jin huCreate your own comparison chart…,Based on Real Life Events,Action,Live Action,Dramatization,China,Mandarin,"February 11th, 2022 (Limited) by CMC Pictures, released as The Battle at Lake Changjin II",,,,,The Battle at Lake Changjin,n/a,"$602,986,104","$602,986,104",,,
11,https://www.the-numbers.com/movie/Nian-Qing-De-Gu-Shi-(2022-China),"['Liu Haoran', 'Liu Haocun']","[['Han Han', 'Director']]",,,,,,,"February 1st, 2022 (Wide), released as 四海 (China)
February 1st, 2022 (Wide), released as Only Fools Rush In (New Zealand)
February 3rd, 2022 (Limited), released as Only Fools Rush In (Australia)
February 4th, 2022 (Limited), released as Only Fools Rush In (United Kingdom)
",147 minutes,vs. UnchartedCreate your own comparison chart…,Original Screenplay,Comedy,Live Action,Contemporary Fiction,China,Mandarin,"February 4th, 2022 (Limited) by CMC Pictures, released as Only Fools Rush In",,,,Romance,,n/a,"$85,365,990","$85,365,990",,,
12,https://www.the-numbers.com/movie/Qi-Ji-Nian-Dai-(2022-China),['Jackson Yee'],"[['Muye Wen', 'Director']]",,,,,,,"February 1st, 2022 (Wide), released as 奇迹 (China)
March 24th, 2022 (Wide), released as Nice View (Australia)
April 7th, 2022 (Limited), released as Nice View (New Zealand)
",116 minutes,Create your own comparison chart…,Original Screenplay,Drama,Live Action,Contemporary Fiction,China,Mandarin,,,,,,,n/a,"$204,449,108","$204,449,108",,,
13,https://www.the-numbers.com/movie/Xi-yang-yang-yu-hui-tai-lang-zhi-kuang-chu-wei-lai-(2022-China),[],"[['Weiming Huang', 'Director']]",,,,,,,"February 1st, 2022 (Wide), released as 喜羊羊与灰太狼之筐出未来 (China)
",94 minutes,Create your own comparison chart…,Original Screenplay,Drama,Digital Animation,Fantasy,China,Mandarin,,,,,,,n/a,"$25,140,000","$25,140,000",,,
14,https://www.the-numbers.com/movie/Xiong-chu-mo-Chong-fan-di-qiu-(2022-China),[],"[['Huida Lin', 'Director']]",,,,,,,"February 1st, 2022 (Wide), released as 熊出没·重返地球 (China)
May 27th, 2022 (Limited), released as Boonie Bears: Back To Earth (United Kingdom)
July 7th, 2022 (Wide), released as Побег из космоса (Russia (CIS))
December 1st, 2022 (Limited), released as Los Rescatadores: Regreso Al Planeta Tierra (Mexico)
December 23rd, 2022 (Wide) (Turkey)
... Show all releases
",95 minutes,vs. InterstellarCreate your own comparison chart…,Original Screenplay,Comedy,Digital Animation,Kids Fiction,China,Mandarin,,,"March 10th, 2023 by Cinedigm, released as Boonie Bears: Back to Earth",,,Boonie Bears,n/a,"$146,943,587","$146,943,587",,,
15,https://www.the-numbers.com/movie/Zui-Leng-De-Qiang-(2022-China),[],"[['Zhang Yimou', 'Director']]",,,,,,,"February 1st, 2022 (Wide), released as 狙击手 (China)
",102 minutes,Create your own comparison chart…,,Drama,Live Action,,China,Mandarin,,,,,,,n/a,"$90,120,000","$90,120,000",,,
16,https://www.the-numbers.com/movie/Jackass-Forever-(2021),[],"[['Jeff Tremaine', 'Director'], ['Spike Jonze', 'Producer'], ['Johnny Knoxville', 'Producer'], ['Jeff Tremaine', 'Producer']]","$23,154,388 (40.1% of total gross)",2.49 (domestic box office/biggest weekend),77.2% (domestic box office/worldwide),,"3,604 opening theaters/3,653 max. theaters, 5.0 weeks average run per theater","$57,743,451","February 3rd, 2022 (Wide) (Australia)
February 3rd, 2022 (Wide) (New Zealand)
February 4th, 2022 (Wide) (Mexico)
February 4th, 2022 (Wide) (United Kingdom)
February 16th, 2022 (Wide) (Netherlands)
... Show all releases
",96 minutes,vs. Jackass 3DCreate your own comparison chart…,Based on TV,Reality,Live Action,Factual,,English,"February 4th, 2022 (Wide) by Paramount Pictures","MTV Films, Dickhouse, Paramount Pictures","March 22nd, 2022 by Paramount +","R for strong crude material and dangerous stunts, graphic nudity and language throughout.(Rating bulletin 2702 (cert #53283), 10/13/2021)",,Jackass,"$57,743,451","$17,045,841","$74,789,292","$528,253","$802,636","$1,330,889"
