,year,movie,url,genre,release_type,revenue_to_date
23,1915,The Birth of a Nation,https://www.the-numbers.com/movie/Birth-of-a-Nation-The-(1915),Drama,Theatrical,11000000.0
41,1916,"20,000 Leagues Under the Sea",https://www.the-numbers.com/movie/20000-Leagues-Under-the-Sea-(1916),Adventure,Theatrical,8000000.0
77,1921,The Four Horsemen of the Apocalypse,https://www.the-numbers.com/movie/Four-Horsemen-of-the-Apocalypse-The-(1921),,Theatrical,9200000.0
148,1925,The Big Parade,https://www.the-numbers.com/movie/Big-Parade-The-(1925),Drama,Theatrical,22268719.0
155,1925,Ben-Hur: A Tale of the Christ,https://www.the-numbers.com/movie/Ben-Hur-A-Tale-of-the-Christ-(1925),Adventure,Theatrical,9000000.0
233,1928,The Singing Fool,https://www.the-numbers.com/movie/Singing-Fool-The,,Theatrical,10000000.0
326,1930,Tom Sawyer,https://www.the-numbers.com/movie/Tom-Sawyer,,Theatrical,11000000.0
376,1931,Frankenstein,https://www.the-numbers.com/movie/Frankenstein-(1931),Horror,Theatrical,14453133.0
462,1933,King Kong,https://www.the-numbers.com/movie/King-Kong-(1933),Horror,Theatrical,10001781.0
652,1936,San Francisco,https://www.the-numbers.com/movie/San-Francisco,Musical,Theatrical,5273000.0
667,1936,How to Become a Detective,https://www.the-numbers.com/movie/How-to-Become-a-Detective,,Theatrical,6000000.0
746,1937,Snow White and the Seven Dwarfs,https://www.the-numbers.com/movie/Snow-White-and-the-Seven-Dwarfs,Musical,Theatrical,184925486.0
848,1939,The Wizard of Oz,https://www.the-numbers.com/movie/Wizard-of-Oz-The,Musical,Theatrical,34949482.0
863,1939,Mr. Smith Goes To Washington,https://www.the-numbers.com/movie/Mr-Smith-Goes-To-Washington,Drama,Theatrical,9000000.0
880,1939,Gone with the Wind,https://www.the-numbers.com/movie/Gone-with-the-Wind,Drama,Theatrical,390525192.0
896,1940,Pinocchio,https://www.the-numbers.com/movie/Pinocchio-(1940),Adventure,Theatrical,84300000.0
902,1940,Rebecca,https://www.the-numbers.com/movie/Rebecca,Thriller/Suspense,Theatrical,6002370.0
925,1940,Boom Town,https://www.the-numbers.com/movie/Boom-Town,Western,Theatrical,9172000.0
949,1940,Fantasia,https://www.the-numbers.com/movie/Fantasia,Musical,Theatrical,83320832.0
1012,1941,Sergeant York,https://www.the-numbers.com/movie/Sergeant-York,Drama,Theatrical,16400000.0
1038,1942,Woman of the Year,https://www.the-numbers.com/movie/Woman-of-the-Year,,Theatrical,6559156.0
1058,1942,Mrs. Miniver,https://www.the-numbers.com/movie/Mrs-Miniver,Drama,Theatrical,13500000.0
1060,1942,Yankee Doodle Dandy,https://www.the-numbers.com/movie/Yankee-Doodle-Dandy,Multiple Genres,Theatrical,11800000.0
1070,1942,Tales of Manhattan,https://www.the-numbers.com/movie/Tales-of-Manhattan,,Theatrical,5200000.0
1072,1942,Bambi,https://www.the-numbers.com/movie/Bambi-(1942),Adventure,Theatrical,268000000.0
1090,1942,Once Upon a Honeymoon,https://www.the-numbers.com/movie/Once-Upon-a-Honeymoon,,Theatrical,5200000.0
1094,1942,Cat People,https://www.the-numbers.com/movie/Cat-People,Drama,Theatrical,8777306.0
1108,1943,Casablanca,https://www.the-numbers.com/movie/Casablanca,Drama,Theatrical,10565232.0
1138,1943,For Whom the Bell Tolls,https://www.the-numbers.com/movie/For-Whom-the-Bell-Tolls,Multiple Genres,Theatrical,17800000.0
1144,1943,This is the Army,https://www.the-numbers.com/movie/This-is-the-Army,Musical,Theatrical,19500000.0
1162,1943,A Guy Named Joe,https://www.the-numbers.com/movie/Guy-Named-Joe-A,Drama,Theatrical,5363000.0
1164,1943,The Song of Bernadette,https://www.the-numbers.com/movie/Song-of-Bernadette-The,Drama,Theatrical,12500000.0
1189,1944,Going My Way,https://www.the-numbers.com/movie/Going-My-Way,Comedy,Theatrical,16300000.0
1217,1944,Meet Me in St. Louis,https://www.the-numbers.com/movie/Meet-Me-in-St-Louis,Musical,Theatrical,12883108.0
1227,1945,Mom and Dad,https://www.the-numbers.com/movie/Mom-and-Dad,,Theatrical,16000000.0
1247,1945,A Tree Grows in Brooklyn,https://www.the-numbers.com/movie/Tree-Grows-in-Brooklyn-A,,Theatrical,9000000.0
1255,1945,The Valley of Decision,https://www.the-numbers.com/movie/Valley-of-Decision-The,,Theatrical,9132000.0
1275,1945,State Fair,https://www.the-numbers.com/movie/State-Fair,,Theatrical,10000000.0
1281,1945,The Dolly Sisters,https://www.the-numbers.com/movie/Dolly-Sisters-The,,Theatrical,10000000.0
1287,1945,Spellbound,https://www.the-numbers.com/movie/Spellbound,Thriller/Suspense,Theatrical,7000000.0
1293,1945,The Lost Weekend,https://www.the-numbers.com/movie/Lost-Weekend-The,Drama,Theatrical,11000000.0
1297,1945,The Bells of St. Mary's,https://www.the-numbers.com/movie/Bells-of-St-Marys-The,Drama,Theatrical,21300000.0
1299,1945,Leave Her to Heaven,https://www.the-numbers.com/movie/Leave-Her-to-Heaven,Thriller/Suspense,Theatrical,13800000.0
1317,1946,Gilda,https://www.the-numbers.com/movie/Gilda,,Theatrical,10000000.0
