,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Theater counts:,Infl. Adj. Dom. BO,Production Budget:,International Releases:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,Domestic Releases:,Video Release:,MPAA Rating:,Production/Financing Companies:,Running Time:,Franchise:,Domestic Box Office,International Box Office,Worldwide Box Office
0,https://www.the-numbers.com/movie/Cheburashka-(2023-Russia),[],"[['Dmitry Dyachenko', 'Director']]",,,,,,,"January 1st, 2023 (Wide) (Russia (CIS))
",Create your own comparison chart…,Family Movie,Based on Fiction Book/Short Story,Adventure,Live Action,Contemporary Fiction,Russian Federation,,,,,,,,n/a,"$86,155,544","$86,155,544"
1,https://www.the-numbers.com/movie/Tre-di-Troppo-(2023-Italy),[],"[['Fabio De Luigi', 'Director']]",,,,,,,"January 1st, 2023 (Wide) (Italy)
",Create your own comparison chart…,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,Italy,Italian,,,,,,,n/a,"$5,097,726","$5,097,726"
2,https://www.the-numbers.com/movie/Mummies-(Spain-2023),[],"[['Juan Jesús García Galocha', 'Director'], ['Jordi Gasull', 'Screenwriter'], ['Javier Barreira', 'Screenwriter']]","$422,183 (9.9% of total gross)",6.30 (domestic box office/biggest weekend),8.0% (domestic box office/worldwide),"225 opening theaters/384 max. theaters, 5.1 weeks average run per theater","$4,275,970",,"January 5th, 2023 (Limited) (Australia)
January 13th, 2023 (Wide), released as Mumiile: Aventuri moderne (Romania)
February 2nd, 2023 (Wide), released as Momias (МУМИЕШКИ) (Russia (CIS))
February 3rd, 2023 (Wide) (Turkey)
February 8th, 2023 (Wide) (France)
... Show all releases
",vs. Tadeo Jones 3: la maldición de la momiaCreate your own comparison chart…,"Family Adventure, Mummy, Set in London, Royalty",Original Screenplay,Adventure,Digital Animation,Kids Fiction,Spain,Spanish,"February 24th, 2023 (Limited) by Warner Bros.","May 26th, 2023 by Hulu","PG for mild action/violence and some rude material.(Rating bulletin 2758 (cert #54142), 11/16/2022)","4 Cats Pictures, Anangu Grup, Moomios Movie AIE, Atresmedia Cine, Movistar Plus, TV3   ",,,"$4,275,970","$48,896,255","$53,172,225"
3,https://www.the-numbers.com/movie/Operation-Fortune-Ruse-de-guerre-(2022),"['Jason Statham', 'Aubrey Plaza', 'Josh Hartnett', 'Cary Elwes', 'Bugzy Malone', 'Hugh Grant']","[['Guy Ritchie', 'Director'], ['Ivan Atkinson', 'Screenwriter'], ['Marn Davies', 'Screenwriter'], ['Guy Ritchie', 'Screenwriter'], ['Jason Statham', 'Producer'], ['Ivan Atkinson', 'Producer'], ['Bill Block', 'Producer'], ['Alan Stewart', 'Cinematographer'], ['James Herbert', 'Editor'], ['Christopher Benstead', 'Composer']]","$3,140,214 (48.3% of total gross)",2.07 (domestic box office/biggest weekend),23.6% (domestic box office/worldwide),"2,168 opening theaters/2,168 max. theaters, 2.2 weeks average run per theater","$6,496,125","$50,000,000 (worldwide box office is 0.6 times production budget)","Fall 2022 (Canceled), released as Operation Fortune: Ruse de guerre (オペレーション・フォーチュン　ルセ・ド・ゲール（原題）) (Japan)
2022 (Canceled) (United Kingdom)
January 5th, 2023 (Limited) (Croatia)
January 5th, 2023 (Wide) (Czech Republic)
January 5th, 2023 (Limited), released as Operation Fortune (Germany)
... Show all releases
",vs. SisuCreate your own comparison chart…,"Secret Agent, Weapons of Mass Destruction, Filmed in Turkey, Filmed in Qatar, Filmed in Hampshire, England, Disrupted by COVID-19 pandemic, Crime Caper, Action Comedy, Arms Dealer, Delayed Release",Original Screenplay,Action,Live Action,Contemporary Fiction,United States,English,"2022 (Canceled) by STX EntertainmentMarch 3rd, 2023 (Wide) by Lionsgate","March 21st, 2023 by Lionsgate Home Entertainment","R for language and violence.(Rating bulletin 2770 (cert #53175), 2/15/2023)","Miramax Films, Toff Guy Films",114 minutes,,"$6,496,125","$21,051,025","$27,547,150"
4,https://www.the-numbers.com/movie/Rafadan-Tayfa-Galaktik-Tayfa-(2023-Turkey),[],"[['Ismail Fidan', 'Director']]",,,,,,,"January 5th, 2023 (Limited) (Germany)
January 6th, 2023 (Wide) (Turkey)
January 6th, 2023 (Wide), released as Rafadan Tayfa: Galaktic Tayfa (United Kingdom)
",Create your own comparison chart…,,Spin-Off,Comedy,Digital Animation,Science Fiction,Turkey,Turkish,,,,,90 minutes,,n/a,"$8,141,317","$8,141,317"
5,https://www.the-numbers.com/movie/House-Party-(2023),"['Tosin Cole', 'Jacob Latimore', 'Karen Obilom', 'D.C. Young Fly', 'Scott Mescudi']","[['Calmatic', 'Director'], ['LeBron James', 'Producer'], ['Maverick Carter', 'Producer'], ['Stephen Glover', 'Screenwriter'], ['Jamal Olori', 'Screenwriter'], ['Richard Brener', 'Executive Producer'], ['Josh Mack', 'Executive Producer'], ['Victoria Palmeri', 'Executive Producer'], ['Spencer Beighley', 'Executive Producer'], ['Jamal Henderson', 'Executive Producer'], ['Gretel Twombly', 'Executive Producer'], ['Reginald Hudlin', 'Executive Producer'], ['Warrington Hudlin', 'Executive Producer'], ['Andrew Huebscher', 'Director of Photography'], ['Scott Falconer', 'Production Designer'], ['Matthew Barbato', 'Editor'], ['Kier Lehman', 'Music Supervisor'], ['Derica Cole Washington', 'Costume Designer']]","$3,985,882 (44.3% of total gross)",2.26 (domestic box office/biggest weekend),97.8% (domestic box office/worldwide),"1,400 opening theaters/1,400 max. theaters, 3.1 weeks average run per theater","$9,002,247",,"January 12th, 2023 (Wide), released as House Party — Fake It Till You Make It (Germany)
January 12th, 2023 (Wide) (Mexico)
January 12th, 2023 (Limited) (Netherlands)
",vs. House Party 2Create your own comparison chart…,"Set in Los Angeles, Farcical / Slapstick Comedy, Parties Gone Wild",Remake,Comedy,Live Action,Contemporary Fiction,United States,English,"January 13th, 2023 (Wide) by Warner Bros.","January 13th, 2023 by Max","R for pervasive language, drug use, sexual material and some violence.(Rating bulletin 2720 (cert #53650), 2/23/2022)","SpringHill Entertainment, New Line Cinema",110 minutes,,"$9,002,247","$202,484","$9,204,731"
6,https://www.the-numbers.com/movie/Plane-(2023),"['Yoson An', 'Tony Goldwyn', 'Daniella Pineda', 'Paul Ben-Victor', 'Gerard Butler', 'Mike Colter']","[['Jean-Francois Richet', 'Director'], ['J.P. Davis', 'Screenwriter'], ['Charles Cumming', 'Screenwriter'], ['Ara Keshishian', 'Producer'], ['Marc Butan', 'Producer'], ['Mark Vahradian', 'Producer'], ['Alan Siegel', 'Producer'], ['Gerard Butler', 'Producer'], ['Lorenzo di Bonaventura', 'Producer'], ['Nik Bower', 'Executive Producer'], ['Deepak Nayar', 'Executive Producer'], ['Alastair Burlingham', 'Executive Producer'], ['Gary Raskin', 'Executive Producer'], ['Michael Cho', 'Executive Producer'], ['Tim Lee', 'Executive Producer'], ['J.P. Davis', 'Executive Producer'], ['Vicki Dee Rock', 'Executive Producer'], ['Allen Liu', 'Executive Producer'], ['Christian Gudegast', 'Executive Producer'], ['Edward Fee', 'Executive Producer'], ['Brendan Galvin', 'Director of Photography'], ['Mailara Santana Pomales*', 'Production Designer'], ['David Rosenbloom', 'Editor'], ['Marco Beltrami', 'Music by'], ['Marcus Trumpp', 'Music by'], ['Anne McCarthy', 'Casting Director'], ['Kellie Roy', 'Casting Director']]","$10,265,326 (32.0% of total gross)",3.13 (domestic box office/biggest weekend),67.1% (domestic box office/worldwide),"3,023 opening theaters/3,060 max. theaters, 4.4 weeks average run per theater","$32,111,181",,"January 12th, 2023 (Wide), released as Alerta Extrema (Mexico)
January 12th, 2023 (Limited), released as Missão de Resgate (Portugal)
January 19th, 2023 (Limited) (Croatia)
January 19th, 2023 (Wide), released as Mayday (Slovakia)
January 25th, 2023 (Limited), released as Mayday (France)
... Show all releases
",vs. AmbulanceCreate your own comparison chart…,"Action Thriller, Extreme Weather, In a Plane, Plane Crash, Rescue, Enemies Forced to Work Together",Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction,United States,English,"January 13th, 2023 (Wide) by Lionsgate","February 3rd, 2023 by Lionsgate Home Entertainment","R for violence and language.(Rating bulletin 2761 (cert #54012), 12/7/2022)","MadRiver Pictures, di Bonaventura Pictures, Lionsgate, G-Base",107 minutes,Plane   ,"$32,111,181","$15,744,169","$47,855,350"
7,https://www.the-numbers.com/movie/Me-Contro-Te-Il-Film-Missione-Giungla-(2023-Italy),[],"[['Gianluca Leuzzi', 'Director']]",,,,,,,"January 13th, 2023 (Wide) (Italy)
",Create your own comparison chart…,,Original Screenplay,Adventure,Live Action,Contemporary Fiction,Italy,Italian,,,,,,,n/a,"$5,056,284","$5,056,284"
8,https://www.the-numbers.com/movie/Gyoseob-(2023-South-Korea),[],"[['Soon-rye Yim', 'Director']]",,,,,,,"January 18th, 2023 (Wide) (South Korea)
June 30th, 2023 (Limited), released as Hedefteki Adam (Turkey)
",Create your own comparison chart…,,Based on Real Life Events,Action,Live Action,Dramatization,Republic of Korea,Korean,,,,,108 minutes,,n/a,"$13,328,013","$13,328,013"
9,https://www.the-numbers.com/movie/Yuryeong-(2023-South-Korea),[],"[['Hae yeong Lee (이해영)', 'Director']]",,,,,,,"January 18th, 2023 (Wide) (South Korea)
September 28th, 2023 (Limited), released as Yuryeong (Фантом) (Russia (CIS))
",Create your own comparison chart…,,Original Screenplay,Action,Live Action,Contemporary Fiction,Republic of Korea,Korean,,,,,,,n/a,"$5,157,020","$5,157,020"
